stud_id,w4pgrm,w4priv,w4urban3,w4nright,w4all3p,w4all3ps,w4cfree,w4cf3p,w4cf3ps,w4math,w4m3p,w4m3ps,w3w4plus,w3w4minus,w4link,w4illp,w1s502,w4s1081,w4s1082,w4s1083,w4s1084,w4s1085,w4s1086,w4s1134,w4s1135,w4s1136,w4s1144,w4s1145,w4s1146,w4s1151,w4s1152,w4s1153,w4s1154,w4s1155,w4s1156,w4s120,w4s121,w4s122,w4s123,w4s124,w4s125,w4s126,w4s127,w4s1281,w4s1282,w4s1283,w4s1284,w4s1285,w4s1286,w4s1291,w4s1292,w4s1293,w4s1294,w4s1295,w4s1301,w4s1302,w4s1303,w4s1304,w4s1305,w4s1306,w4s409,w4s410,w4s411,w4s415,w4s416,w4s417,w4s418,cp,w4td01,w4td02,w4td03,w4td04,w4td05,w4td06,w4td07,w4td08,w4p101,w4p102,w4p103,w4p234,w4p235,w4p229,w4p413,w4p414,w4p415,w4faedu,w4fahlth,w4moedu,w4mohlth,cp09v08_u,cp09v08_ud,cp09v23,cp13v32v33_u,cp13v32v33_ud,cp13v62,cp19v33v34,cp19v33v34_u,cp19v33v34_ud,cp19v33v34_u_x,cp19v33v34_ud_x,cp19v78,cp19v78_x,cp19v78_k_x,cp19v66,collage,department,salary1,salary2,edu,libart,social,sci,enger,farm,med_sw,serv,els,stem,sex
2,2,1,1,25,6045,4734,11,9823,5987,18,7161,995,2,3,8,8669,1,2,2,2,2,2,0,2,2,0,2,2,2,0,2,2,2,2,2,3,2,2,2,5,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,0,2,5,7,5,5,2,4,6,1,2,3,4,3,2,3,1,3,1,3,3,0,2,4,2,4,7,7,3,6,3,8.0,3.0,,8.0,3.0,,,,,8.0,3.0,,5.0, ,9.0,8.0,3.0,5.0,9.0,0,0,1,0,0,0,0,0,0,0,1
3,3,0,1,27,6092,6511,12,9669,9277,13,4403,8924,8,2,13,170,1,2,2,2,2,2,0,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,3,3,6,2,0,0,2,1,1,3,2,1,4,3,1,3,1,3,3,0,10,3,3,0,10,7,5,6,5,,,,,,,,,,,,,, ,,,,,,0,0,0,0,0,0,0,0,0,0,1
4,3,0,1,27,7644,5172,7,1823,11500,19,8920,2944,5,3,10,3072,0,2,2,2,2,2,0,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,0,2,2,2,2,0,2,2,2,2,2,0,2,5,5,6,2,6,5,4,1,2,2,3,5,4,4,3,3,1,3,3,7,3,4,6,7,5,3,5,2,5,1.0,5.0,,1.0,5.0,,,,,1.0,5.0,,, ,17.0,1.0,5.0,17.0,17.0,0,0,0,0,1,0,0,0,0,1,0
10,1,1,0,23,5165,8042,8,3937,8408,18,6786,3630,1,5,6,11638,1,2,2,2,2,2,0,2,2,0,2,2,2,0,2,2,2,2,2,1,2,2,5,1,2,2,2,0,0,2,2,0,2,2,2,2,0,2,2,0,2,2,2,2,3,2,6,3,6,5,1,1,2,2,2,3,2,2,3,3,1,3,3,2,12,4,4,2,12,3,5,2,5,,,,6.0,3.0,,,,,,,,, ,,6.0,3.0,,,0,0,1,0,0,0,0,0,0,0,1
12,3,0,1,52,13100,12738,23,12504,12349,31,12412,12252,14,15,18,12250,0,2,2,2,2,2,0,2,2,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,2,2,2,2,2,0,0,2,2,2,2,2,2,0,2,3,6,6,1,6,2,3,1,1,1,2,2,2,4,3,3,1,3,3,3,12,4,4,3,7,7,3,1,3,9.0,5.0,4.0,,,,,,,,,,, ,,9.0,9.0,4.0,,0,0,0,0,0,0,0,0,1,0,0
15,1,0,1,45,12635,6591,17,10397,5390,28,12403,8966,14,15,18,12250,1,2,2,2,2,2,0,2,2,0,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,0,0,0,2,2,0,0,2,2,2,2,2,6,2,2,5,4,1,4,2,5,5,2,2,3,3,1,3,3,0,5,6,6,0,5,2,3,1,3,1.0,5.0,,,,,,,,1.0,8.0,,, ,12.0,1.0,8.0,12.0,12.0,0,0,0,0,0,0,0,1,0,0,1
24,0,1,1,23,5150,7376,7,2293,9260,18,7171,385,1,3,8,9928,1,2,2,2,2,2,0,2,2,0,2,2,2,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,5,9,0,2,3,1,1,1,4,3,2,4,1,0,3,3,3,7,12,4,4,7,4,3,5,2,5,3.0,2.0,,3.0,2.0,,,,,3.0,2.0,,5.0, ,10.0,3.0,2.0,5.0,10.0,0,1,0,0,0,0,0,0,0,0,1
28,1,0,1,31,7791,1949,12,10205,9376,19,6842,4058,3,4,11,8609,1,2,2,2,2,2,0,2,2,0,0,2,2,0,2,2,2,2,2,1,2,2,2,1,2,2,2,0,0,0,2,2,2,2,0,0,0,2,0,0,0,2,2,2,6,6,6,2,3,0,4,1,2,2,5,5,6,3,3,3,1,3,3,6,12,4,3,6,8,6,2,1,1,9.0,3.0,4.0,9.0,3.0,,,,,,,,, ,,9.0,3.0,4.0,,0,0,1,0,0,0,0,0,0,0,1
29,3,0,1,22,4024,10894,8,3521,9692,13,4571,9805,5,1,9,1436,0,2,2,2,2,2,0,2,2,0,2,2,0,0,2,2,2,2,2,1,2,2,2,1,2,2,2,0,2,2,2,0,2,2,2,0,0,2,2,2,2,2,0,2,3,3,1,8,3,5,4,1,4,4,3,5,4,2,3,3,1,3,3,7,11,3,6,7,12,6,5,1,3,6.0,2.0,,6.0,2.0,6.0,,,,6.0,2.0,,, ,7.0,6.0,2.0,6.0,7.0,0,1,0,0,0,0,0,0,0,0,0
31,1,0,1,47,13049,9988,18,12478,7042,29,12407,9787,1,1,16,5143,1,2,2,2,2,2,0,2,2,0,2,2,0,0,2,2,2,2,2,2,2,1,2,5,2,2,2,0,2,0,2,0,2,2,2,0,2,2,0,2,2,2,2,2,5,2,6,9,3,5,4,1,1,3,2,1,2,2,3,3,1,3,3,7,12,4,4,7,3,0,5,2,5,,,,1.0,4.0,,,,,,,,, ,,1.0,4.0,,,0,0,0,1,0,0,0,0,0,1,1
35,1,0,1,37,10353,481,12,9881,6373,21,9566,201,1,5,11,11113,1,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,1,2,0,0,0,2,0,2,2,2,0,2,2,0,2,2,2,2,2,2,2,6,0,7,5,4,1,1,2,3,3,4,2,1,3,1,3,5,3,12,4,2,4,7,4,4,1,3,,,,6.0,3.0,,,,,,,,, ,,6.0,3.0,,,0,0,1,0,0,0,0,0,0,0,1
37,3,0,1,25,5491,5080,10,5454,6522,15,5824,3676,4,3,7,5560,0,0,0,0,2,0,2,2,2,0,2,0,2,0,2,2,2,2,2,4,2,2,2,2,2,2,2,0,0,2,2,0,2,2,2,0,0,2,2,2,2,2,0,2,3,3,6,2,4,2,3,1,2,4,4,2,2,3,2,2,1,3,5,0,6,4,2,4,7,4,4,6,5,8.0,4.0,,,,,,,,,,,, ,,8.0,8.0,,,0,0,0,0,0,0,0,1,0,0,0
45,1,0,1,21,4929,5972,10,6916,11557,12,5294,5059,5,3,9,3979,0,2,2,2,2,2,0,2,2,0,2,2,2,0,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,0,0,2,2,2,0,0,2,2,0,2,2,2,2,2,6,6,6,9,4,0,3,1,2,1,2,3,4,2,3,3,1,3,3,5,12,4,4,5,12,6,5,5,5,6.0,5.0,,6.0,5.0,5.0,,,,6.0,5.0,,, ,5.0,6.0,5.0,5.0,5.0,0,0,0,0,1,0,0,0,0,1,0
57,1,0,1,41,11943,3948,14,9581,2693,25,11808,3045,5,1,14,570,0,0,2,2,2,2,2,2,2,0,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,0,0,2,0,2,2,2,0,2,3,0,6,2,4,2,2,1,1,1,4,1,4,3,3,3,3,5,3,7,3,5,3,7,4,6,5,6,3,8.0,4.0,,8.0,4.0,,,,,,,,, ,,8.0,4.0,,,0,0,0,1,0,0,0,0,0,1,0
60,3,0,0,24,4212,11905,9,3768,12227,13,1919,11693,5,3,9,4097,0,2,2,2,2,2,0,2,2,0,2,2,2,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,0,0,2,2,2,2,2,0,2,3,3,6,2,0,2,3,1,3,0,6,3,2,1,3,3,3,3,3,7,3,3,4,7,4,6,5,6,3,,,,1.0,5.0,,,,,,,,, ,,1.0,5.0,,,0,0,0,0,1,0,0,0,0,1,0
61,1,0,0,32,7947,35,12,7806,3581,19,7889,22,5,1,11,844,0,2,0,0,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,1,2,1,2,2,2,2,2,2,0,0,2,2,2,2,2,0,2,2,0,2,2,2,2,2,6,5,6,2,3,5,4,1,1,1,2,1,2,3,1,3,3,3,3,2,4,3,3,7,4,5,3,0,3,6.0,5.0,,6.0,8.0,,,,,6.0,8.0,5.0,5.0, ,6.0,6.0,8.0,5.0,6.0,0,0,0,0,0,0,0,1,0,0,0
65,1,0,1,24,5539,7934,7,2535,9267,18,7174,1988,2,4,9,10252,0,2,2,2,0,2,2,2,2,0,2,2,2,0,2,2,2,2,2,5,5,3,5,5,5,5,5,2,2,0,2,2,2,2,2,2,0,2,0,0,2,2,2,2,6,5,6,3,4,5,4,1,4,2,5,3,3,5,1,3,1,3,6,6,12,6,2,4,7,4,4,6,3,6.0,7.0,,6.0,7.0,,,,,6.0,7.0,,, ,9.0,6.0,7.0,9.0,9.0,0,0,0,0,0,0,1,0,0,0,0
77,1,0,0,29,6060,3759,11,6186,5774,15,5370,5926,6,2,11,1356,0,0,0,2,2,2,2,0,2,2,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,0,2,2,0,0,0,2,0,2,2,0,2,2,0,0,6,2,3,0,4,1,3,1,3,1,2,4,3,2,1,3,3,3,11,6,6,3,12,6,3,5,5,11.0,3.0,,,,,,,,,,,, ,,11.0,11.0,,,0,0,0,0,0,0,0,0,0,0,0
86,1,0,1,47,12992,8289,18,12497,7687,27,12304,5898,0,1,15,6342,1,2,2,2,2,2,0,2,2,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,0,0,2,2,0,0,2,2,2,2,2,2,6,9,4,5,1,1,4,1,5,3,6,2,3,3,1,3,3,3,10,4,4,3,5,2,5,6,5,8.0,5.0,,8.0,5.0,,,,,,,,, ,,8.0,5.0,,,0,0,0,0,1,0,0,0,0,1,1
92,1,0,1,43,12268,3995,13,10972,4726,25,11296,1359,3,2,15,3436,1,0,0,0,0,2,2,2,2,0,0,0,2,2,0,2,0,2,2,1,2,1,1,2,1,2,2,2,2,2,2,0,2,2,2,0,2,2,0,0,0,2,2,2,2,2,5,3,2,6,4,1,2,1,2,3,4,2,3,3,1,3,3,0,12,6,6,7,5,7,3,6,3,1.0,4.0,,1.0,4.0,,,,,,,,, ,,1.0,4.0,,,0,0,0,1,0,0,0,0,0,1,1
105,3,0,0,14,2732,9376,7,3187,10062,9,3797,6692,2,4,4,9138,0,2,2,2,2,2,0,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2,3,3,6,9,4,2,3,1,2,1,5,3,4,2,2,0,1,3,5,7,12,4,2,4,7,4,4,6,5,6.0,3.0,,6.0,3.0,,,,,6.0,3.0,,, ,10.0,6.0,3.0,10.0,10.0,0,0,1,0,0,0,0,0,0,0,0
110,3,0,0,33,7545,108,13,8780,2749,19,7467,406,3,2,12,4473,1,2,2,2,2,2,0,2,2,0,2,2,2,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,2,2,2,2,0,2,5,5,3,9,6,6,1,1,4,4,2,5,6,3,3,3,1,3,3,2,12,1,6,7,12,3,5,2,5,8.0,5.0,,8.0,5.0,,,,,,,,, ,,8.0,5.0,,,0,0,0,0,1,0,0,0,0,1,1
113,1,1,1,23,5819,6932,7,3306,9529,12,5248,7374,5,2,13,2438,0,0,0,0,2,2,2,2,2,0,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,0,2,2,0,2,0,2,0,2,2,2,0,2,2,2,6,0,3,2,3,1,1,1,5,3,2,3,1,3,1,3,3,7,4,6,6,7,4,7,5,5,5,9.0,3.0,4.0,9.0,3.0,,,,,,,,, ,,9.0,3.0,4.0,,0,0,1,0,0,0,0,0,0,0,0
116,1,1,1,22,5346,6377,8,4760,7491,14,5815,5319,2,2,9,7489,1,2,2,2,2,2,0,2,2,0,2,2,0,0,2,2,2,2,2,3,2,3,2,1,2,2,2,2,2,2,2,2,0,2,0,0,2,2,0,0,0,2,2,2,6,6,6,2,4,5,3,1,1,2,3,1,6,2,3,2,3,3,3,7,5,5,5,7,5,7,5,6,2,9.0,8.0,5.0,9.0,8.0,5.0,,,,9.0,8.0,,, ,8.0,9.0,8.0,5.0,8.0,0,0,0,0,0,0,0,1,0,0,1
120,2,1,1,52,13100,12738,23,12504,12349,31,12412,12252,14,15,18,12250,0,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2,0,2,2,3,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2,2,2,2,2,0,0,0,5,2,4,2,3,1,1,3,2,3,2,2,1,2,1,3,3,7,5,4,6,7,12,2,3,1,3,6.0,3.0,,6.0,3.0,,,,,,,,, ,,6.0,3.0,,,0,0,1,0,0,0,0,0,0,0,0
121,1,0,1,17,2473,10172,7,2249,10694,8,1704,9445,2,4,2,9863,0,2,0,2,2,0,2,2,2,0,0,0,2,0,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,0,2,2,2,2,0,0,0,2,0,2,2,2,2,2,2,6,6,1,7,5,4,1,2,2,5,3,4,2,3,0,3,3,6,8,10,5,2,4,7,6,3,3,4,1.0,2.0,,1.0,2.0,,,,,,,,, ,,1.0,2.0,,,0,1,0,0,0,0,0,0,0,0,0
123,1,0,1,33,8614,1717,13,8812,4088,20,8459,1408,4,1,11,1459,1,0,0,2,2,2,2,2,2,2,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,0,0,2,0,2,2,2,2,2,2,2,6,2,6,5,3,1,1,1,4,1,2,2,3,3,1,3,3,2,12,4,4,7,12,3,3,2,5,,,,1.0,5.0,,,,,,,,, ,,1.0,5.0,,,0,0,0,0,1,0,0,0,0,1,1
124,2,0,0,17,1605,12407,5,1373,10146,9,1607,11450,4,3,7,4035,0,2,2,2,2,2,0,2,2,0,2,2,0,0,2,2,2,2,2,1,1,1,2,2,1,1,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,0,0,2,3,3,6,2,6,2,3,1,4,4,5,3,4,3,3,0,3,3,3,7,6,4,4,7,6,5,5,4,5,6.0,4.0,,6.0,4.0,8.0,,,,6.0,4.0,,, ,8.0,6.0,4.0,8.0,8.0,0,0,0,1,0,0,0,0,0,1,0
134,1,0,0,21,3564,9302,9,5155,6743,8,1361,9985,2,7,5,12194,0,0,0,2,2,2,2,2,2,0,0,0,2,0,2,2,2,2,2,4,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,0,0,2,0,2,2,2,2,2,6,6,6,2,7,0,4,1,1,5,4,2,5,4,1,2,1,3,6,3,12,3,2,4,7,4,4,2,3,6.0,8.0,,6.0,8.0,,,,,6.0,8.0,,, ,10.0,6.0,8.0,10.0,10.0,0,0,0,0,0,0,0,1,0,0,0
135,3,0,0,16,1023,11124,6,1517,11191,4,602,9641,6,3,8,2776,0,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,2,0,2,2,2,0,0,2,2,2,2,2,0,2,3,3,6,3,6,2,3,1,2,1,5,1,6,3,3,3,1,5,3,3,12,3,3,3,12,7,3,2,3,,,,,,,,,,,,,, ,,,,,,0,0,0,0,0,0,0,0,0,0,0
139,2,1,1,10,725,11304,2,350,11655,7,1845,9174,4,4,4,6031,0,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,0,2,3,3,6,9,6,2,3,1,1,2,3,1,3,4,3,3,1,3,3,7,12,5,5,2,12,6,5,6,5,6.0,3.0,,6.0,3.0,,,,,6.0,3.0,,, ,8.0,6.0,3.0,8.0,8.0,0,0,1,0,0,0,0,0,0,0,0
140,0,1,1,29,6905,2606,10,8304,9262,11,4702,7012,2,2,15,7608,0,2,2,2,2,2,0,2,2,0,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,6,0,2,6,3,1,2,2,5,5,4,2,1,3,1,3,2,7,4,6,5,7,5,0,3,6,5,1.0,5.0,,1.0,5.0,,5.0,,,1.0,5.0,,, ,,1.0,5.0,,,0,0,0,0,1,0,0,0,0,1,0
142,1,1,0,27,8034,112,7,4929,6469,18,8931,47,2,2,8,6561,0,2,2,2,2,2,0,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,0,2,2,0,0,2,2,2,2,2,2,2,0,6,0,6,9,0,0,3,1,3,3,2,2,4,3,3,3,1,3,3,2,12,5,5,7,3,3,5,1,5,,,5.0,,,,,,,,,,, ,,,,5.0,,0,0,0,0,0,0,0,0,0,0,0
150,1,0,0,36,9954,852,11,8134,3441,24,10858,927,2,4,11,9016,1,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,4,1,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,0,2,2,2,6,6,6,2,3,0,3,1,4,1,5,5,4,2,3,3,1,3,3,7,12,6,6,7,12,0,5,2,1,6.0,7.0,,6.0,7.0,,,,,,,,, ,,6.0,7.0,,,0,0,0,0,0,0,1,0,0,0,1
153,1,0,1,41,12120,2572,12,10967,3633,25,11350,488,2,2,15,6099,0,2,2,2,0,2,2,2,2,0,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,0,2,2,2,0,0,2,2,2,0,2,2,2,2,2,6,0,2,5,6,1,2,1,3,3,4,2,3,0,3,3,3,0,11,6,5,2,6,2,1,1,2,,,,6.0,3.0,,,,,,,,, ,,6.0,3.0,,,0,0,1,0,0,0,0,0,0,0,0
154,1,1,0,42,12467,5872,16,12399,8621,27,12310,6469,3,1,14,1700,1,0,0,2,2,2,2,2,2,2,0,0,2,0,2,2,2,2,2,1,2,2,2,2,2,2,2,0,0,2,2,2,2,2,0,0,0,2,0,2,2,2,2,2,6,6,6,2,7,5,3,1,4,2,3,3,4,3,3,3,1,3,6,6,12,6,2,4,7,4,4,2,5,6.0,3.0,,6.0,3.0,,,,,6.0,3.0,,5.0, ,11.0,6.0,3.0,5.0,11.0,0,0,1,0,0,0,0,0,0,0,1
157,2,0,0,25,6248,6286,7,4881,7546,13,5567,7312,4,2,11,3676,0,2,2,2,2,0,2,2,2,0,0,2,2,0,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,0,2,2,0,2,2,2,0,2,2,2,2,2,0,0,6,2,0,4,6,1,2,2,3,3,2,2,1,0,1,3,3,6,3,1,3,4,12,2,5,2,1,,,,6.0,3.0,,5.0,,,6.0,3.0,,, ,11.0,6.0,3.0,11.0,11.0,0,0,1,0,0,0,0,0,0,0,0
160,3,0,0,26,6072,6208,11,7410,3918,15,5475,8801,1,6,5,12155,1,0,0,2,2,0,2,2,2,0,0,0,2,0,2,2,2,2,2,1,2,2,2,3,5,2,2,2,0,0,2,0,2,2,0,0,0,2,2,2,2,0,0,2,6,6,6,9,4,2,4,1,3,5,6,4,1,3,3,2,1,3,3,7,5,5,4,7,12,2,2,1,5,8.0,3.0,,8.0,3.0,11.0,,,,,,,, ,,8.0,3.0,11.0,,0,0,1,0,0,0,0,0,0,0,1
171,1,1,1,31,7904,2081,10,5097,6941,20,8441,1738,2,4,10,9128,0,0,0,0,2,2,2,2,2,2,0,0,2,0,2,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,2,0,2,2,0,0,0,2,0,2,2,2,2,2,6,6,6,9,3,0,4,1,1,1,2,1,2,2,3,3,1,3,6,7,5,4,2,4,7,4,4,5,3,8.0,2.0,5.0,8.0,2.0,5.0,,,,,,,, ,,8.0,2.0,5.0,,0,1,0,0,0,0,0,0,0,0,0
175,3,1,1,33,7387,356,16,11271,3364,19,6959,597,3,0,10,1578,1,2,2,2,2,2,0,2,2,0,2,2,2,0,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,0,2,3,3,6,3,4,2,3,1,1,1,6,3,3,4,1,3,1,3,3,3,9,3,3,5,12,3,5,2,5,8.0,5.0,5.0,,,,,,,,,,, ,,8.0,8.0,5.0,,0,0,0,0,0,0,0,1,0,0,1
177,3,1,1,30,6382,5207,14,9555,1825,18,6309,5251,4,3,9,4979,1,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,0,2,2,2,0,0,2,2,2,2,2,0,2,3,3,6,3,4,2,3,1,2,1,2,3,2,2,3,3,1,3,3,2,3,6,6,2,3,6,3,6,5,6.0,4.0,,6.0,4.0,,5.0,,,6.0,4.0,16.0,16.0, ,16.0,6.0,4.0,16.0,16.0,0,0,0,1,0,0,0,0,0,1,1
178,0,1,0,20,4380,7160,9,7272,4096,12,4313,7258,1,6,4,12220,0,2,2,2,2,2,0,2,2,0,2,2,0,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,6,1,2,0,0,3,1,2,1,3,1,4,2,3,0,1,3,3,2,12,4,4,2,12,2,5,1,5,,,,,,,,,,,,,, ,,,,,,0,0,0,0,0,0,0,0,0,0,0
179,3,0,1,36,9214,77,16,11637,2886,23,9319,428,6,4,12,2816,0,0,0,0,2,0,2,2,2,0,2,0,2,0,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,0,2,0,2,2,0,0,0,2,2,2,2,2,0,2,2,5,6,3,4,2,3,1,3,3,3,1,4,2,1,3,3,4,3,8,9,6,3,5,9,4,4,3,4,,,,1.0,8.0,,,,,1.0,8.0,,, ,,1.0,8.0,,,0,0,0,0,0,0,0,1,0,0,0
187,1,0,1,35,10866,2435,12,10690,5281,22,10213,1470,2,3,11,6822,0,2,2,2,0,2,2,2,0,2,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,0,2,0,2,2,0,0,2,2,2,2,6,6,5,3,5,3,1,3,1,2,2,3,4,2,3,1,3,3,2,12,6,6,2,12,5,3,4,3,1.0,4.0,,1.0,4.0,,,,,,,,, ,,1.0,4.0,,,0,0,0,1,0,0,0,0,0,1,0
189,3,0,0,13,952,12228,5,648,11342,10,2518,8609,5,2,6,2783,1,2,2,2,2,2,0,2,2,0,2,2,2,0,2,2,2,2,2,4,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,0,2,2,2,2,2,2,0,2,0,0,6,2,0,2,2,1,1,1,2,3,2,4,3,3,1,3,3,6,12,6,6,6,12,3,3,6,5,6.0,7.0,,6.0,7.0,,,,,,,,, ,,6.0,7.0,,,0,0,0,0,0,0,1,0,0,0,1
202,3,0,1,34,9182,404,13,8556,2998,23,9586,250,2,5,11,10319,0,2,2,2,2,2,0,2,2,0,2,2,2,0,2,2,2,2,2,1,2,1,2,2,2,2,2,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,0,2,3,3,6,9,6,2,3,1,2,3,3,3,4,2,1,0,3,3,3,5,3,6,4,6,3,7,5,6,5,1.0,3.0,,1.0,3.0,,,,,1.0,3.0,,, ,13.0,1.0,3.0,13.0,13.0,0,0,1,0,0,0,0,0,0,0,0
206,1,0,0,39,11476,1303,11,8902,2554,24,11306,644,3,1,14,1896,1,0,2,2,2,2,2,2,2,2,0,0,2,0,2,2,2,2,2,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,2,0,0,2,2,2,2,0,0,5,2,0,0,3,1,2,2,5,3,4,2,3,2,3,3,3,0,10,3,3,0,10,2,3,1,3,,,,,,,,,,,,,, ,,,,,,0,0,0,0,0,0,0,0,0,0,1
212,1,0,1,34,10047,2553,9,5554,6348,22,10642,2860,2,4,10,8713,0,0,0,2,0,2,2,2,2,0,0,0,2,0,2,2,2,2,2,4,2,2,2,2,2,2,2,2,0,0,0,0,2,2,0,0,0,2,2,0,0,2,2,2,2,5,6,9,3,5,4,1,4,2,5,5,6,2,3,3,1,1,3,3,6,6,2,4,7,4,4,3,4,,,,,,,,,,6.0,3.0,,7.0, ,7.0,6.0,3.0,7.0,7.0,0,0,1,0,0,0,0,0,0,0,0
215,1,0,0,10,517,11889,6,3240,9986,5,290,11710,1,4,2,10265,1,2,2,2,2,2,0,0,2,2,0,2,2,0,2,2,2,2,2,0,1,2,5,1,5,5,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,3,3,6,2,6,7,3,1,3,1,2,2,4,2,1,3,1,3,3,0,12,3,3,6,12,2,1,1,3,,,,,,,,,,,,,, ,,,,,,0,0,0,0,0,0,0,0,0,0,1
225,1,0,1,45,12723,6340,17,12477,6939,27,12137,4768,3,3,14,4693,1,0,0,0,0,2,2,2,2,0,0,0,2,2,0,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0,2,0,0,0,2,2,2,5,2,3,3,0,6,3,1,2,2,3,5,4,2,3,3,3,1,2,6,11,3,3,5,11,4,4,3,4,6.0,8.0,,6.0,8.0,5.0,,,,6.0,8.0,,, ,8.0,6.0,8.0,5.0,8.0,0,0,0,0,0,0,0,1,0,0,1
229,3,0,1,14,1325,11442,7,3405,9823,6,617,11245,3,4,5,8478,1,0,0,0,2,0,2,2,2,0,2,2,2,0,2,2,2,2,2,1,2,1,2,1,2,2,1,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,0,2,6,6,3,2,3,5,4,1,2,1,3,1,4,2,1,2,1,3,3,7,3,3,6,7,3,6,5,1,5,,,,,,,,,,,,,, ,,,,,,0,0,0,0,0,0,0,0,0,0,1
231,1,0,0,25,6342,5107,8,4150,7629,19,7905,75,3,4,8,8990,1,2,2,2,2,2,0,2,2,2,0,2,2,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,0,2,2,2,0,2,2,2,2,7,6,6,5,7,2,3,1,5,5,6,4,3,2,3,2,1,3,3,7,9,4,5,7,9,6,3,5,3,8.0,4.0,,,,,,,,,,,, ,,8.0,8.0,,,0,0,0,0,0,0,0,1,0,0,1
248,1,0,1,41,11456,2428,13,8094,3615,26,11501,1058,5,2,13,1173,1,2,2,2,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,3,2,2,2,1,2,2,2,0,0,0,0,0,2,2,0,0,0,2,0,2,2,2,2,2,2,2,6,9,2,4,0,1,2,2,3,3,4,2,3,3,1,3,3,7,12,6,4,0,12,2,5,5,1,6.0,5.0,,6.0,5.0,,,,,6.0,5.0,,, ,10.0,6.0,5.0,10.0,10.0,0,0,0,0,1,0,0,0,0,1,1
