stud_id,w4pgrm,w4priv,w4urban3,w4nright,w4all3p,w4all3ps,w4cfree,w4cf3p,w4cf3ps,w4math,w4m3p,w4m3ps,w3w4plus,w3w4minus,w4link,w4illp,w1s502,w4s1081,w4s1082,w4s1083,w4s1084,w4s1085,w4s1086,w4s1134,w4s1135,w4s1136,w4s1144,w4s1145,w4s1146,w4s1151,w4s1152,w4s1153,w4s1154,w4s1155,w4s1156,w4s120,w4s121,w4s122,w4s123,w4s124,w4s125,w4s126,w4s127,w4s1281,w4s1282,w4s1283,w4s1284,w4s1285,w4s1286,w4s1291,w4s1292,w4s1293,w4s1294,w4s1295,w4s1301,w4s1302,w4s1303,w4s1304,w4s1305,w4s1306,w4s409,w4s410,w4s411,w4s415,w4s416,w4s417,w4s418,cp,w4td01,w4td02,w4td03,w4td04,w4td05,w4td06,w4td07,w4td08,w4p101,w4p102,w4p103,w4p234,w4p235,w4p229,w4p413,w4p414,w4p415,w4faedu,w4fahlth,w4moedu,w4mohlth,cp09v08_u,cp09v08_ud,cp09v23,cp13v32v33_u,cp13v32v33_ud,cp13v62,cp19v33v34,cp19v33v34_u,cp19v33v34_ud,cp19v33v34_u_x,cp19v33v34_ud_x,cp19v78,cp19v78_x,cp19v78_k_x,cp19v66,collage,department,salary1,salary2,edu,libart,social,sci,enger,farm,med_sw,serv,els,stem,sex
2100,3,0,0,33,8659,114,12,8891,2590,21,9073,220,4,1,13,1525,1,2,2,2,2,2,0,2,2,0,2,2,2,0,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,0,2,2,0,0,2,2,2,2,2,0,2,3,3,6,2,4,2,3,1,1,1,2,1,4,3,3,3,1,3,3,6,12,3,2,4,12,0,4,2,4,8.0,3.0,,8.0,3.0,,,,,8.0,3.0,,, ,8.0,8.0,3.0,8.0,8.0,0,0,1,0,0,0,0,0,0,0,1
2104,1,0,1,49,13064,10381,20,12503,8959,29,12406,9512,1,0,17,2998,0,2,2,2,2,2,0,2,2,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,0,0,0,2,0,2,2,2,2,2,6,6,6,2,7,5,3,1,1,1,2,1,2,4,3,0,1,3,3,6,4,4,5,6,4,7,3,6,5,2.0,8.0,,1.0,8.0,,,,,,,,, ,,1.0,8.0,,,0,0,0,0,0,0,0,1,0,0,0
2110,1,0,0,36,10085,975,12,9957,9238,20,9627,1063,4,2,13,2367,1,2,2,2,2,2,0,2,2,0,2,2,2,0,2,2,2,2,2,1,2,2,2,1,2,2,2,0,2,2,2,2,2,2,0,0,2,2,0,0,2,2,2,2,5,5,6,9,3,2,1,1,4,2,3,5,4,2,3,2,1,3,3,7,3,3,4,7,12,6,3,1,5,,,,,,,,,,,,,, ,,,,,,0,0,0,0,0,0,0,0,0,0,1
2118,1,0,1,52,13100,12738,23,12504,12349,31,12412,12252,14,15,18,12250,1,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,4,4,3,0,7,1,2,1,3,3,2,3,1,3,1,3,3,6,12,3,3,0,12,6,2,1,3,,,,6.0,5.0,,,,,6.0,5.0,,, ,,6.0,5.0,,,0,0,0,0,1,0,0,0,0,1,1
2121,1,1,1,52,13100,12738,23,12504,12349,31,12412,12252,14,15,18,12250,0,2,0,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,1,2,1,1,2,2,2,2,2,0,2,2,0,2,2,0,2,2,2,0,2,2,2,2,2,0,0,5,2,0,0,3,1,3,3,4,2,2,1,1,0,1,3,3,3,3,5,5,3,1,7,3,6,5,6.0,7.0,,6.0,7.0,,2.0,6.0,7.0,6.0,7.0,21.0,21.0,105000,21.0,6.0,7.0,21.0,21.0,0,0,0,0,0,0,1,0,0,0,0
2126,2,0,2,17,2532,11068,6,1946,10327,9,2097,10454,3,5,7,10575,0,0,0,0,2,0,2,2,2,0,2,0,2,0,2,2,2,2,2,2,2,2,2,1,2,2,1,2,0,0,2,0,2,2,2,0,0,2,2,2,2,2,0,2,3,3,6,2,7,2,3,1,2,1,3,1,4,2,3,3,1,3,3,7,6,4,5,7,6,3,3,6,5,3.0,3.0,,3.0,3.0,8.0,,,,3.0,3.0,,, ,9.0,3.0,3.0,8.0,9.0,0,0,1,0,0,0,0,0,0,0,0
2132,1,0,1,36,10396,774,13,9362,2051,20,9860,665,6,1,14,292,0,2,2,2,2,2,0,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,0,2,2,2,2,0,2,2,0,0,2,2,2,6,6,6,3,3,5,3,1,4,4,5,5,6,4,3,0,1,3,3,2,12,3,3,7,12,7,3,6,3,8.0,8.0,,8.0,8.0,,,,,8.0,8.0,,, ,7.0,8.0,8.0,7.0,7.0,0,0,0,0,0,0,0,1,0,0,0
2135,1,1,0,27,5803,5678,13,10509,8866,15,4407,9213,3,7,9,12225,1,2,0,2,0,2,2,2,2,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,0,2,2,0,0,0,2,2,0,0,0,2,2,2,5,6,2,3,4,4,1,2,1,2,5,4,3,3,3,1,3,3,6,12,3,4,7,6,0,5,0,5,6.0,5.0,,6.0,5.0,,,,,,,,, ,,6.0,5.0,,,0,0,0,0,1,0,0,0,0,1,1
2138,1,0,1,41,12505,5451,14,9688,3705,26,12214,5132,2,1,14,2920,1,0,0,0,0,2,2,2,2,0,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,2,2,0,0,2,2,2,2,2,6,5,4,5,4,1,1,1,4,1,3,2,2,3,1,3,3,6,12,3,3,6,12,3,3,2,3,,,,3.0,3.0,,,,,3.0,3.0,,, ,9.0,3.0,3.0,9.0,9.0,0,0,1,0,0,0,0,0,0,0,1
2139,3,0,1,19,2668,11106,9,5421,6900,11,1160,11599,3,7,5,11568,1,0,0,2,2,0,2,2,0,2,0,0,2,0,2,2,2,2,2,1,2,2,2,2,1,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,0,0,6,2,7,7,3,1,4,2,2,1,4,2,1,3,1,3,3,0,12,6,4,2,6,3,5,5,3,,,,,,,,,,,,,, ,,,,,,0,0,0,0,0,0,0,0,0,0,1
2141,1,0,0,29,7542,1729,12,9154,2324,20,8117,726,7,2,10,526,0,2,2,2,2,2,0,2,2,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,2,0,2,2,2,2,2,2,2,6,9,7,0,4,1,4,2,3,5,2,2,3,3,1,3,3,3,12,4,4,3,12,2,5,5,5,,,,,,,,,,,,,, ,,,,,,0,0,0,0,0,0,0,0,0,0,0
2142,3,0,1,38,10412,63,14,11041,3551,20,9152,59,3,3,13,5217,0,2,2,2,2,2,0,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2,3,3,5,5,3,4,3,1,1,2,3,1,4,2,1,3,3,3,3,3,3,6,6,3,3,3,3,2,5,,,,,,,,,,,,,, ,,,,,,0,0,0,0,0,0,0,0,0,0,0
2143,3,0,1,14,1216,11360,4,487,11320,9,2385,8849,2,4,8,10851,1,0,2,2,2,2,2,0,2,2,0,2,2,0,2,2,2,2,2,5,2,2,2,5,2,2,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,7,2,6,1,7,7,6,1,2,2,3,5,4,2,3,3,1,3,3,7,12,3,3,7,12,0,3,5,3,9.0,5.0,,,,,,,,9.0,5.0,,2.0, ,9.0,9.0,5.0,2.0,9.0,0,0,0,0,1,0,0,0,0,1,1
2155,1,0,1,37,10882,542,12,10680,4103,20,9417,300,1,2,15,6582,1,0,2,2,0,2,2,0,0,2,0,0,2,0,2,2,2,2,2,3,2,1,2,3,2,2,2,0,0,0,2,0,2,2,2,2,0,2,0,0,2,2,2,2,6,6,6,9,3,0,3,1,2,1,4,3,2,2,3,3,3,0,1,5,12,3,2,4,7,4,4,3,4,,,,,,,,,,,,,, ,,,,,,0,0,0,0,0,0,0,0,0,0,1
2158,1,0,0,36,9761,247,12,8487,3002,21,9240,255,4,0,14,618,0,2,2,2,2,2,0,2,2,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,0,2,0,2,2,2,2,5,6,6,2,3,5,3,1,1,1,2,1,2,2,2,0,1,3,3,7,5,4,4,7,5,7,2,2,2,6.0,5.0,,6.0,5.0,,,,,,,,, ,,6.0,5.0,,,0,0,0,0,1,0,0,0,0,1,0
2165,2,1,1,22,4347,8326,9,4939,7023,13,3957,9788,4,4,7,6301,1,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,1,2,2,2,1,2,2,2,0,2,2,2,0,2,2,2,0,0,2,2,2,2,2,0,2,3,3,6,2,4,2,3,1,4,1,2,3,3,2,2,0,1,3,3,0,12,3,6,6,12,0,3,2,3,6.0,7.0,,6.0,7.0,,,,,6.0,3.0,,, ,9.0,6.0,3.0,9.0,9.0,0,0,1,0,0,0,0,0,0,0,1
2172,1,0,1,38,11379,3187,11,6975,5694,26,11918,2993,2,2,11,4738,0,2,2,2,2,2,0,2,2,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,0,6,2,6,5,3,1,4,2,5,3,6,4,3,2,3,3,3,7,12,4,4,2,5,6,5,0,1,6.0,2.0,,6.0,2.0,,,,,,,,, ,,6.0,2.0,,,0,1,0,0,0,0,0,0,0,0,0
2174,3,1,1,21,4171,7863,9,4371,8140,12,4429,7319,3,2,8,5318,0,2,2,2,2,2,0,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2,0,2,2,2,2,2,0,2,5,5,1,2,3,5,6,1,4,2,2,3,4,3,3,2,1,3,3,7,6,4,4,0,6,6,5,5,3,1.0,2.0,,1.0,2.0,,,,,,,,, ,,1.0,2.0,,,0,1,0,0,0,0,0,0,0,0,0
2180,3,1,1,11,911,11058,6,1389,11000,9,1703,8802,4,2,6,2597,0,2,2,2,2,2,0,2,2,0,2,2,0,0,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,0,2,3,7,6,3,2,6,2,1,4,4,5,5,6,3,3,3,1,3,3,2,12,3,3,2,12,7,5,2,5,9.0,5.0,,9.0,5.0,,,,,,,,, ,,9.0,5.0,,,0,0,0,0,1,0,0,0,0,1,0
2181,1,0,0,29,5870,4453,13,6755,5082,13,4532,6195,3,1,11,3697,0,2,2,2,2,2,0,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,0,0,2,2,0,2,2,2,2,2,6,6,6,2,3,0,3,1,2,1,3,3,4,2,3,3,1,3,3,3,3,6,6,3,3,7,5,2,3,8.0,8.0,,8.0,8.0,6.0,,,,8.0,8.0,,, ,6.0,8.0,8.0,6.0,6.0,0,0,0,0,0,0,0,1,0,0,0
2192,1,0,1,39,10640,1917,14,8142,3236,27,11909,3610,3,0,14,1108,1,2,2,2,2,2,0,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,0,2,2,2,2,2,5,5,3,9,4,4,1,1,2,4,5,5,4,2,3,3,1,3,3,2,3,6,6,2,3,6,3,6,3,8.0,5.0,,8.0,5.0,,,,,8.0,5.0,,5.0, ,9.0,8.0,5.0,5.0,9.0,0,0,0,0,1,0,0,0,0,1,1
2202,3,0,0,34,8423,67,15,9559,1610,21,8387,147,2,3,10,7551,0,0,0,0,2,2,2,2,2,0,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,0,0,2,2,2,2,2,0,2,6,6,6,2,0,2,3,1,4,2,5,3,2,4,3,3,1,3,3,7,12,6,3,3,12,6,3,1,5,1.0,6.0,,1.0,6.0,,,,,1.0,6.0,,2.0, ,9.0,1.0,6.0,2.0,9.0,0,0,0,0,0,1,0,0,0,0,0
2208,0,0,1,24,6147,6501,6,3159,9820,16,7093,868,1,4,7,10796,0,2,2,2,2,2,0,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,9,6,5,3,1,2,1,3,3,4,3,1,2,1,3,3,7,3,4,6,6,12,0,5,2,3,6.0,3.0,,,,6.0,,,,,,,, ,,6.0,6.0,6.0,,0,0,0,0,0,1,0,0,0,0,0
2209,3,0,0,38,10204,748,17,11917,2809,26,10808,1182,2,1,12,3496,1,2,2,2,2,2,0,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,3,2,2,2,2,0,0,2,2,2,2,2,2,0,2,2,2,2,2,0,2,0,0,6,2,2,4,6,1,1,1,2,1,2,2,3,3,1,3,3,3,12,4,4,3,12,7,5,1,5,,,,,,,,,,,,,, ,,,,,,0,0,0,0,0,0,0,0,0,0,1
2211,1,0,0,52,13100,12738,23,12504,12349,31,12412,12252,14,15,18,12250,1,2,2,2,2,2,0,2,2,0,0,2,2,0,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,0,2,0,2,2,2,0,2,2,2,0,2,2,2,2,2,2,6,2,7,5,0,1,1,1,2,3,2,1,1,1,1,3,3,7,5,3,4,7,5,7,5,1,5,,,,1.0,2.0,,,,,1.0,2.0,,8.0, ,14.0,1.0,2.0,8.0,14.0,0,1,0,0,0,0,0,0,0,0,1
2212,1,1,0,29,7139,4235,12,8511,2969,18,7281,5208,3,4,9,8057,1,0,0,2,2,2,2,2,2,0,0,0,2,0,2,2,2,2,2,1,2,2,2,3,2,2,2,2,0,2,2,0,2,2,0,0,0,2,2,0,0,2,2,2,0,0,6,2,0,0,3,1,1,3,4,5,2,2,3,2,1,3,3,5,11,4,3,3,6,6,3,1,3,6.0,3.0,,6.0,3.0,,,,,6.0,3.0,,, ,8.0,6.0,3.0,8.0,8.0,0,0,1,0,0,0,0,0,0,0,1
2216,3,0,1,11,1165,10649,5,1704,10137,6,1050,9856,2,4,3,9313,1,2,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,1,1,3,3,1,5,0,0,2,2,2,0,2,2,2,2,2,0,2,2,2,0,2,2,2,3,7,6,1,0,7,2,1,2,2,3,3,4,2,3,3,1,3,3,2,3,4,3,3,3,7,3,6,3,1.0,1.0,,1.0,3.0,,,,,1.0,3.0,7.0,7.0, ,8.0,1.0,3.0,7.0,8.0,0,0,1,0,0,0,0,0,0,0,1
2217,1,0,1,40,12431,5511,14,12335,10147,24,12023,4407,0,1,15,6302,1,2,2,2,2,2,0,2,2,0,2,0,2,0,2,2,2,2,2,2,2,1,2,5,2,2,2,0,0,2,2,2,2,2,2,2,0,2,2,0,0,2,2,2,5,5,6,2,0,4,2,1,1,1,2,1,2,2,3,0,1,3,3,3,3,6,4,3,3,2,5,1,5,,,,,,,,,,3.0,2.0,,3.0, ,,3.0,2.0,3.0,,0,1,0,0,0,0,0,0,0,0,1
2221,3,0,2,12,808,11157,6,1879,10868,6,841,10747,4,4,4,6141,1,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,4,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,2,2,2,2,2,0,2,5,5,3,9,2,4,4,1,2,2,5,3,4,3,3,3,1,3,3,3,3,4,4,3,3,3,5,6,5,8.0,8.0,,8.0,8.0,,,,,8.0,8.0,,, ,7.0,8.0,8.0,7.0,7.0,0,0,0,0,0,0,0,1,0,0,1
