stud_id,svyunit,ym,contact,teps_sex,tepsb_sex,np13v01,np13v05,np13v28,np13v29,np13v30_g,np13v30_gd,np13v31,np13v32v33_u,np13v32v33_ud,np13v34,np13v35,np13v36,np13v36_1,np13v36_2,np13v37,np13v37_1,np13v37_2,np13v38,np13v38_1,np13v38_2,np13v39,np13v39_1,np13v39_2,np13v40,np13v41,np13v42,np13v43,np13v44,np13v44_1,np13v45,np13v46,np13v47,np13v48,np13v49,np13v49_k,np13v50,np13v51,np13v52,np13v53,np13v54,np13v55,np13v56,np13v57,np13v58,np13v59,np13v60,np13v60_k,np13v61,np13v62,np13log1,np13log2
35428,1,201401,0,2,2,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
33436,1,201401,1,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
31628,2,201404,2,2,2,1,12,3,5,99,99,1,3,8,1,1,1,99,99,1,99,99,1,99,99,2,1,99,2,1,2,1,1,99,2,79,6,23,1,5,9,84,17,2,4,1,2,50,8,51,1,3,60,6,0,0
48407,1,201312,2,1,1,2,8,3,5,99,99,1,8,5,1,1,1,99,99,1,99,99,1,99,99,1,99,99,1,1,2,2,1,99,2,27,9,31,2,999,10,40,8,1,99,99,99,999,99,9999,99,999,999,99,0,0
33573,1,201401,1,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
44829,1,201312,1,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
40022,1,201401,0,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
48969,1,201312,2,1,1,1,16,3,6,99,99,1,6,3,1,2,2,2,2,1,99,99,1,99,99,1,99,99,1,1,2,1,1,99,2,93,97,41,2,999,11,40,5,2,97,1,2,47,3,52,2,999,48,4,0,0
42253,2,201403,2,2,2,1,18,3,6,99,99,2,6,7,1,2,1,99,99,1,99,99,2,1,99,2,1,99,1,3,2,2,99,99,99,999,99,9999,99,999,99,999,99,99,99,99,99,999,99,9999,99,999,999,99,0,0
34419,1,201311,2,1,1,1,15,3,5,99,99,1,8,4,1,1,1,99,99,1,99,99,1,99,99,1,99,99,1,1,2,2,1,99,2,27,9,31,2,999,10,48,6,1,99,99,99,999,99,9999,99,999,999,99,0,0
46287,1,201401,0,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
45070,1,201312,1,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
