   831213  .4480460584163666      .6580331921577454      2.763632059097291241226 5 234 261331 5 5153 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 2 3 2 6 6 1 6 6 6 3 4 1 2 4 4 4 4 2 2 1 4 3 4 4 1 3 2 2 4 1 2 3 3 2 2 2 2 1 3 6 6 0 0 0 1 0 0 1 5 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 6 4 1 1 2 1 1 1 2 3 2 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 2 3 3 4 2 4 4 4 4 2 3 40 0000000000000000
   931313  .1937260925769806     .24436995387077332    2.20025777816772461142226 5 224 261241 6 6161 3 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 2 2 5 5 6 6 2 5 5 5 2 3 1 2 4 3 3 2 2 3 3 2 3 3 4 1 3 1 4 4 3 2 2 2 3 2 2 1 2 3 2 6 1 1 1 0 0 0 2 6 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 2 2 3 1 2 6 2 1 3 5 4 2 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 2 2 2 2 3 3 4 4 4 4 4 3 40 0000000000000000
   981413  1.557405948638916    .013237379491329193    .387383908033370972221336 5 242 131641 5 5161 5 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 2 2 2 2 5 2 2 1 3 3 4 4 4 3 4 3 4 3 4 2 4 4 4 3 1 1 3 4 4 1 3 3 3 2 2 2 2 4 5 6 6 1 1 1 1 1 0 2 6 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 197 3 1 1 1 6 1 3 3 4 3 1 6 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 2 2 2 2 3 4 3 3 1 4 1 2 11 0000000000000000
  1031203  .3038160502910614      .4179837703704834    2.10009431838989261131116 5 226 461341 5 5333 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 4 4 4 1 4 1 6 4 4 4 3 3 4 3 4 4 3 4 4 4 4 4 4 4 3 3 3 3 2 3 3 3 3 2 3 1 2 1 4 5 6 6 1 1 1 0 1 0 1 5 3 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 2 3 1 1 2 6 1 1 1 4 1 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 3 2 3 3 2 4 4 4 4 4 4 4 40 0000000000000000
  1111203 .11796040087938309    .040368977934122086    1.10797190666198731141336 5 326 231442 5 5643 3 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 2 3 6 1 1 6 6 4 5 5 1 3 2 1 3 4 1 3 1 4 1 2 1 3 4 1 1 3 4 6 1 2 2 3 3 2 2 1 4 4 6 6 0 0 1 0 0 0 1 5 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 6 3 1 6 2 6 1 1 2 6 3 2 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 2 2 2 2 3 4 4 4 4 3 4 3 40 0000000000000000
  1181512  .8110393285751343     1.1360970735549927     1.5265030860900882323111 5 326 321232 5 5352 3 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 2 2 2 1 4 1 3 4 3 2 2 2 3 3 2 4 3 2 2 4 2 4 3 1 3 1 3 1 2 6 1 3 3 3 2 2 2 4 4 4 6 6 0 0 0 0 1 0 2 4 4 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 4 1 1 2 6 1 2 1 3 4 1 6 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 2 2 2 1 2 3 3 3 2 3 2 2 30 0000000000000000
  1251203 .29822996258735657     .38654980063438416    2.26487684249877931231226 5 116 553341 4 3321 1 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 5 5 6 3 5 1 6 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 4 3 3 1 1 2 4 2 4 4 2 3 3 2 1 1 4 6 6 0 0 0 1 1 0 2 4 3 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 2 3 1 2 6 6 1 2 2 6 4 1 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 3 1 2 2 1 3 3 3 3 3 3 3 30 0000000000000000
  1451302 .12574535608291626    .031058328226208687   -.347831189632415771142226 5 222 211641 4 3233 6 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 5 5 5 2 2 2 6 5 5 5 2 3 3 3 3 3 4 4 2 3 2 2 3 1 3 1 1 3 2 4 1 3 4 4 2 2 2 2 4 6 6 6 0 0 0 1 1 0 2 2 3 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 3 1 2 6 6 1 1 2 3 2 1 6 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 1 2 2 1 3 3 3 3 3 3 2 30 0000000000000000
  1491203  .3805827498435974     .17479299008846283     .40517297387123112141336 5 226 261241 3 3132 4 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 5 5 5 5 5 1 6 5 5 5 3 3 1 2 4 4 3 4 3 4 1 3 5 3 3 3 1 3 2 2 1 2 3 3 2 2 3 1 4 4 6 6 0 0 0 0 0 1 2 3 3 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 4 1 1 1 1 1 2 3 6 2 1 6 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 2 1 2 2 1 4 4 4 4 4 4 3 40 0000000000000000
  1541213  .1598709523677826    -.03324471041560173     .90871989727020261151336 6 226 533611 3 3331 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 2 2 2 6 6 3 5 5 5 2 2 2 3 4 4 4 3 1 3 1 3 4 4 2 3 3 3 1 3 3 3 2 4 3 2 2 2 4 4 6 6 0 0 0 0 1 0 2 3 3 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 4 1 1 6 6 1 2 2 6 3 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 2 2 2 2 2 2 2 2 3 3 3 1 30 0000000000000000
  1681513 .20771798491477966     .35692253708839417    1.31831097602844245323226 2 461 111142 1 1321 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 1 3 6 6 3 3 3 2 1 2 1 3 4 3 4 4 2 4 4 4 4 1 2 1 1 1 2 2 1 3 4 3 3 2 5 1 4 2 1 1 0 0 0 0 0 1 2 2 4 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 4 1 1 6 6 1 1 1 6 3 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 1 3 4 2 4 3 3 3 3 3 2 30 0000000000000000
  1771203 .20307374000549316     .23844420909881592     3.1021027565002441142226 6 246 231142 6 6252 3 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 3 3 3 2 6 5 5 5 3 3 4 4 3 3 4 4 5 5 3 4 4 3 3 1 3 3 2 6 3 2 2 4 1 1 2 3 4 3 2 6 0 0 1 0 0 0 2 5 2 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 3 1 2 1 2 6 1 2 1 5 6 2 6 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 3 3 2 2 2 3 3 3 3 3 4 3 30 0000000000000000
  1961202 .17253825068473816      .3189826011657715    2.91074895858764651141336 5 266 121241 6 5251 1 0 0 1 0 0 0 0 0 0 0 1 0 1 1 1 0 0 1 1 4 3 4 5 6 5 5 5 1 1 1 1 4 4 2 1 1 4 1 1 1 4 1 3 2 2 4 1 1 2 3 2 2 1 2 2 4 4 6 6 0 0 1 0 0 0 2 5 2 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 2 1 1 1 2 2 1 3 1 6 3 6 6 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 3 1 3 2 2 1 1 2 1 1 1 1 10 0000000000000000
  2051203  .2582108974456787      .3463071286678314     2.7278132438659671131226 5 212 221242 6 5251 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 3 2 2 1 3 6 6 4 5 5 3 3 3 3 3 3 3 4 3 4 3 4 4 4 3 1 1 1 2 4 3 3 3 2 2 3 2 6 4 6 6 6 0 0 0 0 1 0 2 5 2 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 6 4 3 1 1 6 1 1 2 4 3 1 4 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 3 3 3 3 1 4 4 4 3 4 4 4 40 0000000000000000
  2111203 .12192713469266891      .2469169944524765     2.8886084556579595341221 5 216 432241 5 4341 2 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 2 2 2 2 2 2 6 2 2 2 2 2 2 4 4 4 4 3 3 3 3 2 4 3 3 1 1 1 2 4 1 2 2 2 3 1 2 2 3 6 6 6 0 0 1 0 0 0 2 4 3 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 2 1 1 3 1 1 2 1 5 3 2 6 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 3 2 3 2 3 3 3 3 3 3 3 3 30 0000000000000000
  2341213  .3344091475009918      .5498389005661011   .0060764588415622711142116 5 226 353541 5 5654 3 0 1 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 1 2 6 6 6 3 6 6 6 6 3 3 1 2 5 3 3 1 1 3 1 3 5 3 2 2 2 2 4 4 1 1 3 3 3 3 2 1 5 4 2 6 0 0 1 1 1 0 2 5 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 6 4 3 1 3 6 1 3 3 2 2 1 3 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 2 2 2 2 2 3 2 4 2 3 2 1 40 0000000000000000
