  168513 6.47925376892089812.802213668823242  1.3183109760284424114 42 2654 6 299 19911266561101010000111 0 0 0 0 0 1532456244513114124 2 4 3 1 1 34132 5 2 32 23 3 32 4 1 3 1 1 0 0 1 0 0 0 2 6 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 2 4 3 1 3 6 1 2 3 4 1 1 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 3 3 3 3 2 2 3 4 4 2 3 1 40 2000000000000000
  1772032.2788143157958984 .5605299472808838   3.102102756500244113 12 1652 1 6 2 2 114266263110000010000 0 0 0 0 0 1333336644443444444 4 1 4 4 4 44111 1 6 23 43 3 33 2 3 5 1 1 0 0 1 1 1 0 2 5 3 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 3 3 1 1 2 6 1 1 1 6 1 1 6 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 4 2 4 4 2 4 4 3 4 4 40 0000000000000000
  196202 5.198719024658203 5.350615978240967  2.9107489585876465114 13 3654 3 6 2 2 124165352201100001001 0 0 0 0 0 1123231444433223444 3 4 2 4 4 33111 4 4 13 23 3 2299 3 4 6 6 1 1 0 1 0 0 2 5 2 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 2 2 1 2 6 6 2 1 3 6 5 1 5 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 1 1 4 4 3 4 4 3 4 2 30 1000000000000000
  2052033.07163095474243161.5076924562454224   2.727813243865967114 12 2654 6 4 1 4 114265254110000000001 0 0 0 0 0 1336146644433114324 3 3 1 3 3 42332 2 4 13 34 3 12 6 4 4 6 6 0 0 0 1 1 0 1 5 3 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 3 1 1 2 1 1 2 3 4 3 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 3 2 3 3 3 3 2 3 3 3 3 3 20 0000000000000000
  211203 7.392300128936768 8.501811027526855   2.888608455657959224 12 2152 2 5 5 3 234155222101100001001 0 0 0 0 0 1446441642421232332 1 1 2 1 1 12233 2 6 13 33 2 22 1 4 5 2 1 0 0 0 0 1 0 2 4 2 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 2 1 2 1 1 1 1 3 3 2 2 2 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 3 3 2 2 3 3 3 4 2 1 3 1 40 0000000000000000
  234213 3.3203120231628422.9484519958496094 .006076458841562271216 22 2652 4 2 6 5 563133333410000010000 0 0 0 0 0 1111444444433114222 1 2 2 2 1 14113 4 3 13 33 1 23 2 3 4 6 6 0 0 0 0 1 0 2 4 3 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 2 3 3 2 6 6 1 2 1 6 6 2 6 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 1 2 2 3 4 3 3 3 3 3 3 30 0000000000000000
  241203 3.1879365444183351.7179213762283325   3.118076801300049115 13 3652 2 5 1 1 134265253110000000100 0 0 0 0 0 1226441644431114344 3 4 2 2 3 42333 2 6 32 34 3 22 4 4 5 6 6 1 0 0 1 0 0 2 5 2 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 2 2 3 1 1 6 1 2 2 2 1 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 4 4 2 3 1 3 3 4 3 3 3 3 40 0000000000000000
  279213 5.0874557495117191.4184331893920898  3.1658780574798584115 22 3661 5 4 3 3 241255351110000000010 0 0 0 0 0 1136666266622223333 3 3 3 3 4 42113 4 4 33 33 1 33 2 4 2 6 6 0 0 0 1 0 0 1 5 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 2 2 1 1 2 6 1 2 3 4 1 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 3 3 3 3 4 1 1 2 3 3 3 3 40 0000000000000000
  296203 5.0097403526306152.5402026176452637   .7041414976119995213 11 1652 2 4 4 2 124155331610000000100 0 0 1 0 0 0443244444434334343 4 4 4 4 4 44112 2 2 23 23 3 14 4 4 6 3 3 0 1 1 0 1 0 1 5 3 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 6 2 1 1 1 6 2 2 1 6 3 3 3 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 3 1 2 1 1 4 4 4 4 3 3 3 10 0000000000000000
  305202 5.933223247528076 3.134050130844116  3.0429470539093018513 12 2652 2 5 3 3 333244141101000000101 1 1 1 0 0 0254222655512111323 2 2 2 2 3 32333 4 4 13 33 2 23 1 2 6 6 6 0 0 0 0 1 0 2 3 3 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 6 4 1 1 6 6 1 2 2 4 3 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 2 1 2 2 1 3 2 3 3 4 2 1 40 0000000000000000
