stud_id,w4pgrm,w4priv,w4urban3,w4all3p,w4cf3p,w4m3p,w4s1134,w4s1135,w4s1144,w4s1145,w4s120,w4s121,w4s122,w4s126,w4s409,cram,w4p229,w4p413,w4p234,w4p414,w4p503,w4faedu,w4moedu,grade_ask,deg_ask,teps_sex,tepsb_sex,np13v32v33_u,np13v32v33_ud,np13v52,edu,libart,sbl,sci,enger,agri,med,serv,else,educ,sblc,scic,engerc,agric,medc,servc,elsec
39772,1,0,1,-0.44362158,0.061958317,-0.67788482,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,4.0,3.0,1,1.0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
39773,1,0,2,3.4328039,3.7665939,3.4292562,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,7.0,1,1.0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
39775,1,0,2,-0.25962678,0.73445904,-2.2839279,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,,,2.0,,2.0,,4.0,,,0,0.0,0.0,1.0,32.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39780,2,0,0,1.3986827,1.5880529,1.4721091,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,4.0,6.0,0,0.0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
39781,3,1,2,-0.47679475,-0.11731677,-1.0417941,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,0,0.0,,,17.5,0,0,0,0,0,0,0,0,0,,,,,,,,
39782,0,1,1,-0.072962016,0.45149398,-0.56565821,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,4.0,0,0.0,3.0,5.0,22.5,0,0,0,0,0,1,0,0,0,,,,,1,,,
39784,1,0,1,1.9093443,2.08077,1.5983672,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,4.0,8.0,1,1.0,8.0,2.0,,0,0,1,0,0,0,0,0,0,,1,,,,,,
39787,0,0,2,1.3896136,1.665548,1.7169884,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,,0,0.0,8.0,1.0,27.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39788,1,0,2,4.0403023,3.832757,3.9290106,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,4.0,3.0,2.0,4.0,5.0,2.0,7.0,1,1.0,8.0,5.0,27.5,0,0,0,0,0,1,0,0,0,,,,,1,,,
39789,1,0,1,1.9266598,2.0961428,1.9732661,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,,2.0,2.0,2.0,3.0,3.0,2.0,5.0,3.0,4.0,6.0,0,0.0,7.0,2.0,42.5,0,0,1,0,0,0,0,0,0,,1,,,,,,
39791,3,1,1,-0.94416207,0.52262837,-1.516048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,4.0,1,1.0,4.0,4.0,,0,0,0,0,1,0,0,0,0,,,,1,,,,
39792,1,0,2,3.6205809,3.9608958,3.8349621,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,,,2.0,1.0,1.0,0.0,,1,1.0,3.0,2.0,22.5,0,0,1,0,0,0,0,0,0,,1,,,,,,
39793,1,0,1,2.4882951,3.6082261,2.5287941,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,,,2.0,3.0,4.0,1.0,,1,1.0,7.0,2.0,,0,0,1,0,0,0,0,0,0,,1,,,,,,
39794,0,1,1,0.062687606,-0.28123361,0.29005453,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,6.0,8.0,1,1.0,3.0,4.0,,0,0,0,0,1,0,0,0,0,,,,1,,,,
39795,3,0,1,2.1109519,1.3844786,2.144223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,,1.0,,1.0,,0.0,,,1,1.0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
39796,1,0,2,3.3804417,4.128819,3.2809906,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,4.0,4.0,2.0,5.0,2.0,3.0,8.0,0,0.0,7.0,1.0,12.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,1,0,2,1.1260744,1.5036495,0.88419157,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,2.0,3.0,1.0,0.0,4.0,1,1.0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
39802,1,1,0,1.145599,2.0212641,1.169641,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,0.0,6.0,3.0,0,0.0,6.0,1.0,17.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39807,3,0,1,1.6965082,1.7210306,1.3632656,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,0,0.0,7.0,7.0,22.5,0,0,0,0,0,0,0,1,0,,,,,,,1,
39809,2,1,1,-0.430518,0.085400514,-0.49230933,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,,0.0,,,,,0,0.0,3.0,6.0,27.5,0,0,0,0,0,0,1,0,0,,,,,,1,,
39811,2,1,1,1.2030767,1.9588051,0.10530452,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,0.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,0,0.0,,,12.5,0,0,0,0,0,0,0,0,0,,,,,,,,
39814,1,0,2,3.2258933,2.6385331,3.3575706,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,3.0,2.0,4.0,4.0,0.0,6.0,1,1.0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
39816,1,0,2,3.0252111,3.8840094,2.8729455,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,,,,2.0,,5.0,,,0,0.0,8.0,5.0,32.5,0,0,0,0,0,1,0,0,0,,,,,1,,,
39817,2,1,1,1.42471,2.7729845,0.82777858,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,,0.0,2.0,0.0,0.0,,1,1.0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
39818,1,0,2,4.5230331,4.6237869,4.6826162,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,,2.0,2.0,3.0,1.0,4.0,,1,1.0,7.0,7.0,,0,0,0,0,0,0,0,1,0,,,,,,,1,
39821,3,0,2,2.044692,2.6889536,2.1247063,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,2.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,0,0.0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
39824,3,1,1,0.13471499,0.9158805,-0.023795929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,,,0.0,0.0,2.0,,1,1.0,4.0,4.0,22.5,0,0,0,0,1,0,0,0,0,,,,1,,,,
39825,1,0,2,1.189443,1.6283135,0.61772263,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,0.0,1.0,4.0,5.0,1,1.0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
39828,3,0,1,1.9325057,2.1534836,2.2409592,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,4.0,2.0,0,0.0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
39831,2,1,1,0.91716897,1.5459646,0.044563714,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,3.0,,2.0,,1.0,,,1,1.0,4.0,5.0,,0,0,0,0,0,1,0,0,0,,,,,1,,,
39833,1,0,1,2.1881776,2.7749147,1.875155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,3.0,,3.0,0.0,1.0,3.0,,0,0.0,7.0,2.0,22.5,0,0,1,0,0,0,0,0,0,,1,,,,,,
39834,2,1,2,1.9755753,4.0854173,0.50751644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,0.0,2.0,0,0.0,4.0,1.0,27.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39836,1,0,2,3.5989544,3.9133546,3.2125432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,4.0,0,0.0,4.0,4.0,,0,0,0,0,1,0,0,0,0,,,,1,,,,
39837,3,1,2,0.010605224,0.68311858,-0.82674509,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,4.0,2.0,1,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
