    6133 13 2 2 2200
   15133 42 2 3 1200
   18124 42 3 4 2200
   36134 33 2 4 2200
   37122 21 2 2 1200
   39133 33 3 5 2200
   40123 23 3 2 2200
   64134 13 3 3 1200
   65133 43 2 3 2200
   67155 23 4 1 2200
   68122 32 3 3 1200
   72122 13 2 3 1300
   77133 34 3 2 1200
   97133 33 3 3 3200
   99133 33 3 3 3200
  106112 11 3 3 1200
  109144 23 3 3 2200
  114122 22 2 2 3200
  119144 24 3 3 2200
  127133 33 3 3 2300
  138134 12 3 3 1100
  139113 11 3 3 1200
  140132 32 3 3 1200
  144134 23 3 3 2100
  155133 42 3 2 2300
  159132 42 2 3 1200
  180123 22 2 4 1200
  187113 12 2 4 1200
  196122 11 1 4 1200
  201111 21 2 3 1200
  206144 54 4 2 1100
  230134 33 3 3 1200
  235122 33 2 4 1400
  243133 23 3 3 2200
  267131 31 3 3 3200
  273132 22 2 3 2200
  280134 33 3 3 2200
  300121 44 3 4 3100
  307112 12 2 3 2200
  320123 22 3 4 3200
  325133 42 4 4 2200
  332113 22 2 4 1300
  334123 22 3 3 1200
  338111 11 2 3 1200
  349123 23 2 3 1200
  361123 32 2 3 1200
  362111 31 3 2 1100
  382111 21 2 3 1100
  387133 33 2 2 2200
  399123 32 3 2 1300
  413134 23 3 3 1300
  422113 22 2 3 1200
  432124 13 2 3 2200
  434123 22 3 3 1200
  435112 11 2 4 1300
  438134 33 2 4 1300
  439122 22 2 4 1200
  442133 43 2 4 1200
  443123 12 2 3 1200
  465133 33 2 3 1300
  480146 52 3 5 1200
  487133 33 3 4 2200
  498123 32 3 4 3300
  501121 22 2 3 1200
  510133 41 1 5 3300
  514112 12 4 1 2200
  516115 31 1 3 1200
  523123 23 3 3 1200
  526144 53 3 3 3200
  533112 12 2 3 2300
  535123 11 1 4 1200
  544124 32 3 2 2100
  562123 42 3 3 1200
  566134 33 2 3 2200
  573122 11 1 4 1200
  586144 33 2 3 2200
  590133 12 3 2 3200
  600143 23 3 2 1100
  619122 32 2 3 1300
  646123 23 3 3 2300
  649155 34 6 5 3200
  653133 22 2 3 2300
  661111 11 1 4 2100
  664155 55 2 3 1100
  667134 43 3 3 2200
  676132 43 2 4 1200
  684113 12 1 3 1200
  689133 33 4 3 3300
  695111 21 2 3 2200
  706143 13 1 4 1200
  714123 12 2 4 2300
  717112 21 3 4 1200
  721123 32 2 3 1200
  724144 33 3 2 2300
  751134 12 3 3 2200
  753132 34 3 3 1200
  755123 42 3 4 1300
  756132 43 4 2 3300
  761134 33 3 3 2200
  766131 12 3 3 3300
  775132 43 4 2 2200
  776132 22 2 4 2200
  777134 14 2 3 2300
  778133 22 2 3 1200
  782123 22 2 3 1100
  783123 12 2 3 3300
  786133 22 3 3 2400
  793121 22 2 3 1100
  801123 22 2 3 1200
  807112 22 2 3 1300
  813111 31 1 4 1200
  814123 22 3 3 1200
  815133 33 4 3 2200
  817133 12 3 4 2200
  818133 43 4 3 2200
  823122 23 3 3 1200
  825132 23 1 3 1100
  829155 44 3 1 2200
  839133 33 3 3 3300
  844134 43 2 3 2200
  849134 32 3 3 2100
  850122 12 2 3 1300
  865126 22 3 4 3200
  876133 43 3 3 1200
  877111 12 2 4 1300
  898122 21 2 4 1300
  903112 11 4 3 1100
  905123 33 4 3 2200
  940133 43 3 3 2200
  945134 34 3 3 1200
  959112 21 2 3 1200
  963123 22 3 4 2200
  972155 53 4 2 1100
  975123 22 2 3 1200
  985135 44 5 2 2100
  993123 13 1 4 1200
  994145 52 5 1 1100
  999122 22 2 4 1200
 1006122 12 2 2 1200
 1010132 23 4 2 1200
 1012122 11 2 3 2200
 1014111 12 2 3 2300
 1018144 34 2 4 1200
 1025123 11 2 3 1200
 1037133 43 2 3 1200
 1047111 31 1 4 1200
 1056124 31 3 2 1300
 1061133 33 3 3 2200
 1062112 12 2 1 2300
 1066123 23 2 3 1400
 1074113 11 2 3 1200
 1076134 32 5 1 1200
 1098154 44 4 1 1200
 1100123 22 2 3 1300
 1113112 22 2 4 1200
 1116113 11 3 3 1300
 1118125 12 6 5 3300
 1119122 22 3 3 2300
 1124112 12 2 4 1200
 1128155 53 1 3 2100
 1129145 55 6 4 1100
 1140134 34 4 2 2200
 1147133 33 4 2 1200
 1153113 22 3 3 2200
 1154133 33 3 2 1200
 1164124 22 4 1 2200
 1174144 42 2 3 1200
 1176122 31 1 4 1200
 1179123 23 2 5 1300
 1182122 21 2 3 1100
 1195122 22 3 3 3200
 1201133 33 3 3 1200
 1202123 23 3 3 1200
 1204123 22 2 4 1400
 1211122 22 2 3 1200
 1218133 52 4 2 2200
 1223153 43 4 2 2200
 1224123 32 3 3 1200
 1239123 23 2 3 1300
 1246144 23 2 3 2200
 1248122 22 2 5 2300
 1258112 11 2 3 1200
 1262123 11 2 3 2200
 1300123 32 2 4 1200
 1304134 33 3 3 2200
 1308122 44 5 3 3200
 1309123 13 3 2 2200
 1312143 34 4 2 3200
 1322122 23 3 3 1200
 1325133 32 3 2 1200
 1327145 34 4 2 2200
 1333145 44 3 3 2300
 1335122 33 2 3 2200
 1337124 22 6 5 3300
 1339122 22 2 3 1200
 1346123 11 3 4 3200
 1350136 32 2 4 3300
 1360122 32 2 3 2200
 1370123 12 2 3 1100
 1378113 21 2 3 1200
 1387112 21 2 4 3300
 1388113 12 2 3 2100
 1389124 22 2 3 2300
 1399123 22 2 3 1300
 1409133 22 3 3 2200
 1416134 43 3 3 2300
 1419122 12 2 3 1100
 1421111 22 2 3 1300
 1424145 41 4 5 1200
 1425134 13 2 2 1300
 1459122 21 3 3 3300
 1463122 11 2 4 2200
 1497112 11 1 3 1200
 1515122 11 2 3 3300
 1531122 22 2 3 1100
 1534143 34 2 3 2200
 1548133 34 3 3 1200
 1554144 22 2 2 2200
 1569111 11 2 3 2200
 1585124 42 4 1 1100
 1607111 21 2 3 1200
 1624133 33 3 3 1200
 1631134 43 4 2 2200
 1640112 11 2 3 1200
 1644122 13 3 3 1200
 1655122 21 2 3 1200
 1665112 42 3 3 1300
 1668123 33 3 3 2200
 1684133 43 2 3 2200
 1688123 23 2 3 2100
 1700144 42 3 3 1100
 1701155 55 4 3 1100
 1708123 22 3 2 1200
 1710123 43 3 3 1300
 1719113 22 2 3 2200
 1724122 42 3 3 1200
 1740123 22 3 3 2300
 1741122 32 2 4 1200
 1753113 11 3 3 1200
 1783123 31 3 3 1200
 1794122 21 2 3 1100
 1797113 11 2 4 2100
 1810133 44 3 4 1200
 1813123 33 3 2 2200
 1817123 32 4 1 3300
 1819123 22 3 3 1200
 1824144 34 1 4 3200
 1833133 33 3 3 2200
 1851122 22 2 3 1200
 1855122 22 2 3 1300
 1868132 31 2 3 1100
 1870123 22 2 3 2300
 1872123 22 2 4 3300
 1878124 13 1 2 2100
 1896122 12 2 4 2200
 1899144 34 3 3 2200
 1908122 22 1 4 1200
 1909133 33 3 3 1200
 1911112 42 2 4 2200
 1914133 23 3 3 2200
 1929142 24 3 3 1300
 1937133 43 3 2 1200
 1941122 32 2 3 3300
 1945133 22 2 3 1100
 1947112 12 2 4 3200
 1952111 21 2 3 1200
 1961122 12 1 3 1100
 1964133 33 3 3 1200
 1965134 23 2 3 2100
 1973122 33 3 4 1200
