  1453022.09798073768615722.1874148845672607 -.3478311896324157711422265222211641 4 3233 6100000 0 0 0 0 1 0 1 0 0 0 055522 265552333334423223 13113 2 4 13 4 4 2 2224 666000110223001000 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2312661 12321610000000100000000121221 3 3 33 332300000000000000000
  1492031.41926026344299321.2197028398513794   .405172973871231121413365226261241 3 3132 4100000 1 0 0 0 0 0 0 0 0 0 155555 165553312443434135 33313 2 2 12 3 3 2 2314 466000001233000100 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1411111 23621600000100100000000121221 4 4 44 443400000000000000000
  154213 3.2688879966735841.7884864807128906   .908719897270202611513366226533611 3 3331 1100000 0 0 0 1 0 0 0 0 0 0 112226 635552223444313134 42333 1 3 33 2 4 3 2224 466000010233000100 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1411661 22631100000100100000000122222 2 2 23 331300000000000000000
  168513  6.4319777488708512.503808975219727  1.318310976028442453232262461111142 1 1321 1100000 1 0 0 0 0 0 0 0 0 0 111136 633321213434424444 12111 2 2 13 4 3 3 2514 211000001224000100 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1411661 11631110000000000110000021342 4 3 33 332300000000000000000
  1772032.2621870040893555 .5474646687507629   3.10210275650024411422266246231142 6 6252 3100000 1 0 0 0 0 0 0 0 0 0 111333 265553344334455344 33133 2 6 32 2 4 1 1234 326001000252001000 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 3121261 21562600000110000000000133222 3 3 33 343300000000000000000
  1962025.16078662872314455.2258992195129395  2.910748958587646511413365266121241 6 5251 1001000 0 0 0 0 1 0 1 1 1 0 011434 565551111442114111 41322 4 1 12 3 2 2 1224 466001000252001000 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 2111221 31636600000111000000000131322 1 1 21 111100000000000000000
  2052033.04921889305114751.4725500345230103   2.72781324386596711312265212221242 6 5251 1100000 0 0 0 0 1 0 0 0 0 0 132213 664553333333434344 43111 2 4 33 3 2 2 3264 666000010252010000 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 6431161 12431400000111000000000133331 4 4 43 444400000000000000000
  211203 7.338362216949463 8.303644180297852   2.88860845565795953412215216432241 5 4341 2100000 0 0 0 0 1 0 0 1 0 0 022222 262222224444333324 33111 2 4 12 2 2 3 1223 666001000243001000 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2211311 21532600000111000000000132323 3 3 33 333300000000000000000
  2342133.29608535766601562.8797271251678467 .00607645884156227111421165226353541 5 5654 3010010 0 0 0 0 1 0 0 1 1 0 012666 366663312533113135 32222 4 4 11 3 3 3 3215 426001110252000100 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 6431361 33221300000111000000000122222 3 2 42 321400000000000000000
  241203 3.1646757125854491.6778786182403564   3.11807680130004911513365332221341 6 6251 1100000 0 0 1 0 0 0 0 0 0 0 122226 666661332413223234 42112 4 4 33 3 1 3 2324 421101100263000100 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 2431661 23321400000100100000000132332 3 3 44 341300000000000000000
