  1031203   .307220995426178     .4230034649372101    2.10009431838989261 1 3 1 2 26542 4 42 114165452110000010000001000 3 3 6 3 3 3 4 4 4 4 3 2 1 1 2 2 3 3 2 2 3 3 3 44311 2 4 13 3 3 2 2 21 4 1 3 5 0 0 0 0 0 1253001000 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1631 1 2 612344130000010010000000012222 2 4 4 4 4 4 4 3 40 0000000000000000
  1111203 .11928240954875946    .04085378348827362    1.10797190666198731 1 3 1 2 26542 6 21 134244231100100010000001000 2 3 6 2 4 4 6 4 5 4 3 3 3 3 4 4 2 3 1 3 3 4 2 43111 4 4 33 4 3 3 3 31 1 6 1 6 0 0 0 0 0 1233000100 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0641 2 6 612313110000010010000000012122 1 3 3 4 4 3 4 1 40 0000000000000000
  1181512   .820128858089447    1.1497408151626587     1.5265030860900881 4 3 3 3 16522 6 66 344266261110000000011010000 5 5 2 1 3 2 5 5 5 5 3 3 1 1 3 3 2 1 1 3 2 3 3 13111 1 4 13 3 2 2 1 24 4 1 6 6 0 0 1 1 0 0263000100 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0131 1 2 622352360000010010001000002233 3 3 3 3 3 3 3 3 30 0010000000000001
  1251203  .3015722930431366     .3911920189857483    2.26487684249877931 2 3 1 2 26511 6 55 334143321110000000101001000 5 5 6 3 5 1 6 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 43311 2 4 24 4 2 3 3 21 1 4 6 6 0 0 0 1 1 0243000100 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0231 2 6 612264120000010010000000103122 1 3 3 3 3 3 3 3 30 0000000000000000
  1451302  .1271546185016632    .03143131732940674   -.347831189632415771 3 3 3 2 16523 6 31 153122223110000000100000001 3 3 6 3 3 2 6 3 3 3 3 3 3 4 2 4 4 4 1 4 3 4 4 43313 4 4 23 4 3 2 2 35 4 6 6 6 0 0 0 1 1 0233000100 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0131 2 6 613122110000010010000000013223 3 3 3 4 3 3 3 3 40 0000000000000000
  1491203   .384848028421402    .17689213156700134     .40517297387123112 1 4 1 3 36522 6 26 124133132410000010000000001 5 5 5 5 5 1 6 5 5 5 3 3 1 2 4 4 3 4 3 4 1 3 5 33313 2 2 12 3 3 2 2 31 4 4 6 6 0 0 0 0 0 1233000100 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1141 1 1 112362160000010010000000012122 1 4 4 4 4 4 4 3 40 0000000000000000
  1541213 .16166266798973083   -.03364395722746849     .90871989727020262 2 6 1 3 36622 6 66 461144331210000010000000001 1 1 6 1 6 1 3 3 4 3 1 2 1 1 3 2 2 2 1 2 1 2 1 21111 1 4 13 4 3 2 3 22 4 4 6 5 0 0 0 0 0 1233000100 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1641 2 6 622333130000010010000000012122 2 3 1 2 2 2 1 1 20 0000000000000000
  1681513  .2100459337234497     .3612089455127716    1.31831097602844241 3 3 2 2 26521 6 22 124266161110000010000011000 4 4 2 1 4 6 4 4 4 4 3 3 3 3 4 4 4 4 4 4 4 4 4 33333 5 4 13 2 3 3 1 22 1 5 2 2 0 0 0 0 1 0164000100 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1523 3 6 612262110000010000010010002233 4 4 3 4 4 4 3 3 40 0000000000000000
  1771203  .2053496390581131    .24130776524543762     3.1021027565002441 1 3 1 2 26521 6 61 114255254110000000001001000 3 3 4 4 4 1 6 4 4 4 3 2 4 3 4 4 4 4 3 3 2 4 2 22322 4 4 13 3 3 2 2 24 4 4 6 6 0 0 1 0 0 0253000100 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1632 1 2 114321160000011000001000002233 4 3 3 4 2 3 3 1 40 0000000000000000
  1961202  .1744719296693802    .32281336188316345    2.91074895858764651 1 4 2 1 16521 2 42 244164541310000000010000001 3 3 3 3 3 3 6 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 33333 2 4 32 3 4 3 3 51 4 3 1 6 0 0 1 0 0 0152001000 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0642 1 2 622431110000010010000000012222 2 3 3 3 3 3 3 3 30 0000000000000000
