  1031203 .32423338294029236       .445424884557724    2.10009431838989261141336522111 134 154243110000010000 0 1 1 0 0 033333 3 6445333 22 4343433443113 5 4 1 3 3 3 2 3 2 6 4 1 2 2 1 0 0 1 1 0 1 4 3 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 2 4 1 1 2 6 2 1 3 1 2 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 2 2 3 4 2 1 2 2 3 1 2 20 0000000000000000
  1111203  .1258876919746399     .04301925003528595    1.10797190666198731151336522666 244 264261310000000010 0 0 0 0 0 144444 4 6444422 14 4343424344133 5 6 3 3 3 3 2 1 2 4 4 2 6 5 1 0 0 0 0 0 1 5 2 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 2 2 3 2 6 6 1 1 2 5 3 2 3 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 2 2 2 2 4 4 4 4 4 4 4 4 40 0000000000000000
  1251203  .3182718753814697      .4119272530078888    2.26487684249877931141226521332 134 132221110000000100 0 0 0 0 0 122222 2 6224443 32 4444444444111 4 4 1 3 4 3 2 2 2 1 3 6 6 6 0 0 0 1 1 0 2 2 3 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 3 1 1 1 1 1 1 1 3 1 1 3 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 1 3 2 4 4 4 4 4 4 4 4 40 0000000000000000
  1451302 .13419581949710846    .033097341656684875   -.347831189632415771132226522332 163 154342110000010000 0 0 0 0 0 132323 6 3644333 33 5333333333113 1 4 3 3 3 2 2 3 2 2 4 4 6 6 0 1 1 0 1 0 2 4 3 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 5 3 2 1 6 6 1 3 1 3 2 1 3 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 3 2 2 2 4 4 3 4 3 4 3 4 40 0000000000000000
  1491203 .40615904331207275     .18626834452152252     .40517297387123112151316521333 234 155251101000000001 0 0 1 0 0 023623 1 6345332 32 3241214344111 2 4 3 3 4 3 2 3 2 4 3 4 6 1 0 0 0 1 0 0 1 4 3 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 2 4 3 1 2 1 1 1 3 4 1 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 2 3 2 4 4 4 4 3 4 4 4 40 0000000000000000
  1541213 .17061474919319153   -.035427264869213104     .90871989727020261151336622622 341 155241210000010000 1 0 0 0 0 044446 1 4444231 14 3232334242313 5 4 3 4 3 3 2 1 3 1 1 4 2 2 0 0 0 1 0 0 1 5 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 6 4 1 1 2 6 1 1 4 6 1 1 6 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 2 2 3 3 3 1 4 4 3 4 4 1 40 0000000000000000
  1681513  .2216772437095642      .3803549110889435    1.31831097602844241332226521622 124 266161110000010000 0 1 1 0 0 044214 6 4444333 34 4444444433333 5 4 1 3 2 3 3 1 2 2 1 5 2 2 0 0 0 0 1 0 1 6 4 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 5 2 3 3 6 6 1 2 2 6 2 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 2 2 3 3 4 4 3 4 4 4 3 3 40 0000000000000000
  1771203 .21672089397907257      .2540983557701111     3.1021027565002441131226521661 114 255254110000000001 0 0 1 0 0 033444 1 6444324 34 4443324222322 4 4 1 3 3 3 2 2 2 4 4 4 6 6 0 0 1 0 0 0 2 5 3 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 6 3 2 1 2 1 1 4 3 2 1 1 6 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 2 2 3 3 4 3 3 4 2 3 3 1 40 0000000000000000
  1961202 .18413333594799042      .3399241864681244    2.91074895858764651142116521242 244 164541310000000010 0 0 0 0 0 133333 3 6333333 33 3333333333333 2 4 3 2 3 4 3 3 5 1 4 3 1 6 0 0 1 0 0 0 1 5 2 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 6 4 2 1 2 6 2 2 4 3 1 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 2 2 2 2 2 3 3 3 3 3 3 3 30 0000000000000000
  2051203 .27556344866752625      .3690425753593445     2.7278132438659671141336526111 124 255231110000000001 0 1 0 0 0 033222 6 6455111 14 4444414444111 4 2 3 2 4 4 3 3 2 6 4 5 6 6 0 0 0 1 0 0 1 5 3 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 6 4 3 1 6 6 1 1 4 1 1 1 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 1 1 4 4 4 4 3 4 4 4 4 3 40 0000000000000000
  2111203 .13012099266052246      .2631273865699768     2.8886084556579591152226522522 154 165651110000001001 0 0 0 0 0 155555 2 6555342 24 3432322443113 1 4 3 2 2 3 3 2 3 2 1 4 6 6 0 0 1 0 1 0 2 5 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 3 1 1 3 6 1 2 2 3 4 4 5 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 1 3 3 3 3 4 4 3 3 3 3 3 3 30 0000000000000000
  2341213  .3568824529647827       .585936427116394   .0060764588415622711163146522211 154 144141110000010000 0 0 0 0 0 112266 6 1555221 13 4533344244113 2 4 1 2 4 3 3 3 5 4 1 2 3 6 0 0 1 0 1 0 1 3 3 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 4 3 2 6 6 1 1 3 5 4 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 2 2 3 3 4 3 3 4 4 3 4 3 30 0000000000000000
  2411203  .2277328222990036      .2975374758243561     3.1180768013000491141226522332 334 155153110000000100 0 0 0 0 0 133333 1 6333333 33 3333333334111 2 4 1 2 3 3 2 1 2 6 1 6 6 6 0 0 0 1 0 0 1 3 2 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 6 4 1 1 2 1 1 1 3 3 3 1 6 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 2 2 2 3 4 3 4 4 4 4 4 40 0000000000000000
  2791213 .30423346161842346     .37551113963127136    3.16587805747985843152111525631 233 144141310000000001 0 0 0 0 0 112666 6 1611443 24 4444224444331 4 4 3 2 4 3 3 3 2 4 4 5 2 6 0 0 0 0 1 0 1 3 3 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 6 4 1 2 6 6 1 1 2 2 2 1 3 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 2 2 2 2 4 4 4 4 4 4 4 3 40 0000000000000000
  2961203 1.2357203960418701    -.03704148530960083     .70414149761199951341226522632 233 144341110000000100 0 0 1 0 0 012444 4 6222444 44 4441434144112 6 2 1 2 3 2 2 1 2 4 3 2 6 6 0 0 0 0 1 0 1 5 3 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 2 4 5 1 2 2 2 1 1 5 6 2 2 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 4 4 4 4 4 4 4 4 40 0000000000000000
  3051202   .425984263420105       .706427812576294    3.04294705390930181153116522211 233 155251110000010000 0 1 0 0 0 022323 2 6344221 22 2333322332111 1 4 3 1 2 3 2 3 2 2 4 5 6 6 0 0 0 1 0 0 1 4 3 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 3 1 1 2 6 1 2 4 2 1 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 2 1 3 2 3 4 3 3 4 4 3 1 40 0000000000000000
  3101203 .22379596531391144     .29132771492004395    1.81094038486480711151336522222 144 144143100100000001 0 1 0 0 0 022211 1 3234432 13 2442434344111 2 4 3 2 3 1 2 1 2 2 4 6 6 6 0 0 0 1 1 0 2 3 3 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 2 3 1 2 6 6 2 2 3 2 2 2 3 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 2 2 2 2 4 4 3 4 4 3 4 3 30 0000000000000000
  3161402   .246580109000206     .35657522082328796     .90963369607925421153226532522 153 155252110000001000 0 1 1 0 0 012513 2 6233332 24 4222411143113 4 6 3 3 3 3 2 3 2 2 4 2 6 6 0 0 0 1 1 0 2 3 3 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 4 1 1 1 1 1 3 3 3 2 1 6 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 1 3 3 3 3 3 3 3 3 2 2 40 0000000000000000
  3451403 .28055909276008606     .36720919609069824      .6060268282890321142336524222 113 266362310000000111 0 0 0 0 0 122413 1 6255332 13 3232123334111 2 4 3 3 3 2 3 1 2 2 4 6 6 6 0 0 0 1 1 0 1 6 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 2 1 1 2 6 1 2 2 2 2 2 6 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 2 2 2 2 3 4 2 3 3 2 3 3 40 0000000000000000
  3471203 .23046636581420898                           3.07007145881652831142216526642 244 155251110000001011 0 1 1 0 0 011121 1 3333423 33 3331323343111 2 2 1 2 3 3 3 2 2 5 4 5 6 6 0 0 0 0 1 0 1 4 2 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 2 1 1 2 6 2 1 2 2 3 2 1 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 1 2 2 3 3 4 3 3 3 4 3 3 3 40 0000000000000000
  3501402  .2963743507862091      .3221862316131592    1.85234367847442631142136532415 144 255252310000001100 0 0 1 0 0 021613 5 6225331 13 4241322244111 4 3 3 4 3 3 1 1 2 4 4 4 6 6 0 0 0 0 1 0 2 4 3 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 2 2 1 1 6 6 1 2 2 3 2 1 3 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 2 2 3 2 4 4 4 4 4 4 4 3 30 0000000000000000
  3591203 .25538381934165955      .2772056460380554     3.0535328388214111151336522554 143 165351110000000001 0 0 0 0 0 134414 1 6444334 34 4444443544111 5 6 3 2 3 2 2 1 2 3 4 4 6 6 0 0 1 1 1 0 1 6 2 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 3 1 1 1 2 6 1 1 1 6 5 4 2 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 1 2 2 2 2 4 4 3 3 4 4 4 4 40 0000000000000000
  3641402 .32963183522224426      .4579365849494934    2.88140058517456051152556522611 153 144233110000010000 0 1 0 0 0 023444 4 4344443 44 4442413344111 4 4 3 2 3 4 2 3 2 1 4 3 5 5 0 0 1 1 0 0 1 3 3 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 6 2 1 1 2 2 1 1 3 2 2 1 2 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 2 2 3 2 4 4 3 4 4 4 3 4 30 0000000000000000
